EXPOCODE 3250031_1   WHP-ID P31     CRUISE DATES 012594 TO 021994         20020814WHPOSIODM                                                                                                          *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDPRS  CTDTMP  CTDSAL  CTDOXY   THETA  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  TCARBN  ALKALI      PH  PHTEMP  CFC-11  CFC-12         QUALT1         QUALT2
                                    DBAR  ITS-90  PSS-78 UMOL/KG   DEG C  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG           DEG C PMOL/KG PMOL/KG                             *
                         *******                 ******* *******         ******* ******* ******* ******* ******* ******* ******* ******* *******         ******* *******                             *
       2       1      12      12   803.9  4.9247 34.4424   148.1  4.8594 34.4399   151.0   49.23   33.16    0.00    2.32  2225.6  2375.9  7.5823   25.00   0.020   0.013 22222222223222 22222222223222
       2       1      11      11   904.0  4.3553 34.4784   147.4  4.2851 34.4795   146.4   62.63   34.06    0.00    2.39  2238.8  2405.6 -9.0000   -9.00   0.009   0.003 22222222223922 22222222223922
       2       1      10      10  1004.4  3.9628 34.5009   146.9  3.8871 34.5001   145.0   70.85   34.62    0.00    2.42  2252.3  2398.6  7.5674   25.00   0.009   0.001 22222222223222 22222222223222
       2       1       9       9  1104.2  3.6112 34.5247   146.4  3.5301 34.5229   143.5   79.67   35.02    0.00    2.47  2263.2  2354.4  7.5641   25.00  -9.000  -9.000 22222222222299 22222222222299
       2       1       8       8  1204.0  3.2961 34.5456   140.5  3.2096 34.5447   142.3   87.03   35.27    0.00    2.49  2272.7  2364.5  7.5601   25.00   0.007   0.010 22222222222222 22222222222222
       2       1       7       7  1404.5  2.9091 34.5723   147.3  2.8101 34.5719   144.0   96.75   35.37    0.00    2.50  2281.9  2408.2  7.5620   25.00   0.004  -0.001 22222222223222 22222222223222
       2       1       6       6  1605.2  2.6090 34.5942   145.9  2.4971 34.5947   146.3  104.65   35.42    0.00    2.50  2289.3  2381.0  7.5655   25.00   0.008  -0.003 22222222222222 22222222222222
       2       1       5       5  1805.9  2.3636 34.6136   149.7  2.2382 34.6128   148.8  110.48   35.31    0.00    2.49  2295.1  2443.6  7.5690   25.00   0.018   0.010 22222222223222 22222222223222
       2       1       4       4  2007.4  2.1327 34.6328   150.2  1.9936 34.6336   151.6  115.99   35.06    0.00   -9.00  2298.3  2396.6  7.5742   25.00   0.007   0.006 22222222522222 22222222522222
       2       1       3       3  2260.5  1.9658 34.6476   155.3  1.8075 34.6460   155.0  119.55   34.91    0.00   -9.00  2300.3  2434.8  7.5778   25.00   0.023   0.004 22222222523232 22222222523232
       2       1       2       2  2514.9  1.8599 34.6570   158.6  1.6809 34.6562   157.4  122.33   34.85    0.00   -9.00  2300.4  2400.3  7.5803   25.00   0.011   0.004 22222222522222 22222222522222
       2       1       1       1  2679.8  1.8299 34.6610   153.4  1.6364 34.6601   158.7  123.32   34.75    0.00   -9.00  2302.1  2445.1  7.5844   25.00   0.035   0.005 22322222523242 22322222523242
       3       1      30      30     2.1 29.3398 35.9032   179.6 29.3393 35.8980   193.8    1.72    0.19    0.00    0.21    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       3       1      29      29    15.1 29.2820 35.9156   181.8 29.2783 35.9122   194.3    1.70    0.09    0.00    0.20    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       3       1      28      28    55.0 27.8665 36.2526   202.9 27.8536 36.2380   204.5    1.50    0.09    0.00    0.20    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       3       1      27      27   105.1 26.4554 36.3527   204.5 26.4315 36.3619   200.7    1.29    0.09    0.00    0.22    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       3       1      26      26   204.8 21.6860 35.9822   177.5 21.6457 35.9738   173.7    1.28    3.17    0.01    0.44    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       3       1      25      25   305.0 16.5012 35.3040   168.4 16.4516 35.2916   170.0    3.11    8.12    0.00    0.76    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       3       1      24      24   404.8 11.1920 34.7105   150.2 11.1412 34.7078   149.4   10.52   18.88    0.00    1.49    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       3       1      23      23   503.8  8.1692 34.4988   144.4  8.1170 34.4951   142.4   19.78   26.71    0.00    1.97    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       3       1      22      22   602.7  6.2473 34.4035   159.7  6.1931 34.4022   163.7   26.07   29.55    0.00    2.10    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       3       1      21      21   701.9  5.4360 34.4153   157.6  5.3768 34.4150   157.2   38.30   31.85    0.00    2.24    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       3       1      20      20   801.8  4.7644 34.4465   145.8  4.7003 34.4453   150.7   52.77   33.35    0.00    2.41    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       3       1      19      19   902.4  4.4537 34.4811   141.8  4.3830 34.4800   146.4   61.88   33.95    0.00    2.40    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       3       1      18      18  1003.1  3.9144 34.5040   144.2  3.8392 34.5024   144.6   71.96   34.46    0.00    2.46    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       3       1      17      17  1103.8  3.5800 34.5207   143.2  3.4992 34.5188   144.6   79.07   34.61    0.00    2.48    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       3       1      16      16  1204.4  3.3788 34.5426   143.5  3.2915 34.5414   141.9   86.04   35.01    0.00    2.51    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       3       1      15      15  1305.4  3.1428 34.5533   143.3  3.0496 34.5504   144.3   90.38   35.01    0.00    2.52    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       3       1      14      14  1406.2  2.9584 34.5657   148.7  2.8588 34.5645   145.2   94.93   35.11    0.00    2.53    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       3       1      13      13  1506.9  2.7447 34.5832   148.2  2.6392 34.5808   145.4  100.67   35.16    0.00    2.53    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       3       1      12      12  1607.0  2.6043 34.5943   148.3  2.4923 34.5925   145.7  104.12   35.11    0.00    2.53    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       3       1      11      11  1706.9  2.4751 34.6052   149.9  2.3564 34.6021   147.6  107.21   35.06    0.00    2.53    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       3       1      10      10  1807.4  2.3735 34.6137   149.4  2.2478 34.6109   148.4  109.53   35.07    0.00    2.53    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       3       1       9       9  1907.7  2.2654 34.6223   151.0  2.1328 34.6202   149.8  112.44   35.02    0.00    2.52    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       3       1       8       8  2008.1  2.1530 34.6313   151.7  2.0136 34.6286   151.6  115.57   35.12    0.00    2.52    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22232222299999 22232222299999
       3       1       7       7  2209.4  1.9887 34.6451   155.5  1.8346 34.6431   154.4  119.72   34.76    0.00    2.51    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       3       1       6       6  2411.4  1.8711 34.6554   158.3  1.7012 34.6541   156.9  122.30   34.51    0.00    2.50    -9.0    -9.0 -9.0000   -9.00   0.004   0.000 22222222299922 22222222299922
       3       1       5       5  2613.5  1.7638 34.6641   160.0  1.5776 34.6623   160.2  123.48   34.41    0.00    2.48    -9.0    -9.0 -9.0000   -9.00   0.010   0.005 22222222299922 22222222299922
       3       1       4       4  2815.7  1.7096 34.6695   161.4  1.5058 34.6674   162.9  124.06   34.21    0.00    2.48    -9.0    -9.0 -9.0000   -9.00   0.005   0.003 22222222299922 22222222299922
       3       1       3       3  3018.0  1.6507 34.6743   164.9  1.4288 34.6721   166.3  124.44   33.91    0.00    2.47    -9.0    -9.0 -9.0000   -9.00   0.013   0.018 22222222299944 22222222299944
       3       1       2       2  3118.6  1.6304 34.6767   166.9  1.3992 34.6743   167.4  124.61   33.86    0.00    2.47    -9.0    -9.0 -9.0000   -9.00   0.026   0.002 22222222299942 22222222299942
       3       1       1       1  3148.0  1.6187 34.6779   169.0  1.3849 34.6758   167.9  124.99   33.81    0.00    2.46    -9.0    -9.0 -9.0000   -9.00   0.002   0.000 22222222299922 22222222299922
       4       1      36      36     1.9 29.4657 36.0925   191.1 29.4652 36.0916   193.8    1.51    0.18    0.00    0.20    -9.0    -9.0 -9.0000   -9.00   1.510   0.801 22222222299922 22222222299922
       4       1      35      35    15.3 29.3399 36.1122   196.6 29.3362 36.1222   195.2    1.31    0.18    0.00    0.20    -9.0    -9.0 -9.0000   -9.00   1.736   0.945 22222222299922 22222222299922
       4       1      34      34    55.7 27.8518 36.1741   202.1 27.8387 36.1700   204.2    1.10    0.13    0.00    0.18    -9.0    -9.0 -9.0000   -9.00   1.559   0.853 22222222299922 22222222299922
       4       1      33      33   105.1 26.3322 36.2043   204.0 26.3084 36.1911   210.2    1.08    0.13    0.00   -9.00    -9.0    -9.0 -9.0000   -9.00   1.692   0.906 22222222599922 22222222599922
       4       1      32      32   204.6 22.4073 36.0822   180.1 22.3660 36.0802   176.8    1.07    2.58    0.03   -9.00    -9.0    -9.0 -9.0000   -9.00   1.809   0.930 22222222599966 22222222599966
       4       1      31      31   305.4 16.7808 35.3428   175.3 16.7306 35.3007   171.9    2.34    7.92    0.00   -9.00    -9.0    -9.0 -9.0000   -9.00   1.747   0.877 22222222599922 22222222599922
       4       1      30      30   404.6 10.9999 34.6906   151.3 10.9497 34.6841   147.2   10.82   19.90    0.00   -9.00    -9.0    -9.0 -9.0000   -9.00   0.733   0.349 22222222599922 22222222599922
       4       1      29      29   504.9  8.0752 34.4932   139.3  8.0232 34.4922   141.1   19.86   27.20    0.00   -9.00    -9.0    -9.0 -9.0000   -9.00   0.299   0.166 22222222599922 22222222599922
       4       1      28      28   604.4  6.3595 34.4340   145.2  6.3047 34.4351   150.9   29.63   30.61    0.00    2.17    -9.0    -9.0 -9.0000   -9.00   0.103   0.056 22222222299922 22222222299922
       4       1      27      27   704.5  5.4144 34.4227   156.3  5.3551 34.4230   155.1   39.59   32.13    0.00    2.27    -9.0    -9.0 -9.0000   -9.00   0.055   0.038 22222222299922 22222222299922
       4       1      26      26   804.5  4.8418 34.4587   147.9  4.7769 34.4588   147.5   52.71   33.54    0.00    2.36    -9.0    -9.0 -9.0000   -9.00   0.015   0.004 22222222299922 22222222299922
       4       1      25      25   905.5  4.3119 34.4753   146.6  4.2419 34.4764   147.1   62.15   34.26    0.00    2.41    -9.0    -9.0 -9.0000   -9.00   0.015   0.002 22222222299922 22222222299922
       4       1      24      24  1006.3  3.9656 34.5069   144.2  3.8897 34.5072   142.8   72.00   34.92    0.00    2.47    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       4       1      23      23  1106.3  3.6308 34.5256   141.5  3.5493 34.5246   142.8   79.09   35.23    0.00    2.48    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       4       1      22      22  1207.0  3.4184 34.5404   142.2  3.3306 34.5403   142.3   84.33   35.33    0.00    2.49    -9.0    -9.0 -9.0000   -9.00   0.002  -0.004 22222222299922 22222222299922
       4       1      21      21  1405.5  2.9682 34.5688   146.3  2.8686 34.5679   143.5   94.92   35.38    0.00   -9.00    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222599999 22222222599999
       4       1      20      20  1605.9  2.6463 34.5920   150.6  2.5338 34.5920   145.8  102.75   35.49    0.00   -9.00    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22322222599999 22322222599999
